customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,No,No,50,Yes,No,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,93.4,4651.1444270253305,No
CUST00001,Female,0,No,Yes,46,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,37.32,1731.7060460659197,No
CUST00002,Male,0,No,Yes,3,Yes,No,DSL,No,No internet service,No internet service,Yes,No,No internet service,One year,No,Mailed check,48.57,146.36828929322914,No
CUST00003,Male,0,No,Yes,6,Yes,No phone service,No,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),106.48,644.2367234512636,Yes
CUST00004,Male,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Bank transfer (automatic),108.51,3675.3917930337548,No
CUST00005,Female,0,Yes,No,47,Yes,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.49,1158.181017269737,No
CUST00006,Male,1,No,No,71,Yes,No phone service,Fiber optic,No,No,No,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),36.81,2601.5562551733074,No
CUST00007,Male,0,Yes,No,44,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,No,No internet service,Month-to-month,No,Electronic check,31.75,1388.726530157301,No
CUST00008,Male,1,No,No,71,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),37.97,2665.517447069043,No
CUST00009,Female,0,Yes,No,18,Yes,No,DSL,No internet service,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,117.02,2090.916956782964,No
CUST00010,Male,0,No,No,62,Yes,No,No,No internet service,No,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),75.17,4650.030093941509,No
CUST00011,Male,0,No,Yes,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,66.81,2478.226190252775,No
CUST00012,Male,1,Yes,No,66,Yes,Yes,No,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),118.45,7829.613115511557,No
CUST00013,Male,1,Yes,Yes,58,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,One year,No,Credit card (automatic),75.7,4378.441364471559,No
CUST00014,Female,0,No,Yes,68,Yes,Yes,No,No,No internet service,No internet service,No,No internet service,No,Two year,No,Electronic check,86.11,5852.191109235421,No
CUST00015,Male,0,No,No,12,Yes,No phone service,DSL,Yes,Yes,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),53.28,673.0877052892221,No
CUST00016,Female,0,Yes,No,46,Yes,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,58.21,2680.2821712616965,No
CUST00017,Female,0,Yes,Yes,60,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,No,Mailed check,79.44,4755.662151111922,No
CUST00018,Female,1,No,Yes,30,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No,Two year,No,Credit card (automatic),26.98,775.8070247962141,No
CUST00019,Male,0,Yes,No,21,No,No,DSL,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),45.59,940.3115497326156,No
CUST00020,Female,0,No,No,42,Yes,Yes,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Mailed check,39.68,1648.7026076384568,No
CUST00021,Male,0,No,Yes,66,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),21.59,1464.4974744080077,No
CUST00022,Female,1,No,No,53,No,No phone service,DSL,No,Yes,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),73.69,3888.60084955414,No
CUST00023,Female,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,76.11,686.0108585667649,Yes
CUST00024,Female,0,Yes,No,41,Yes,No phone service,DSL,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,58.39,2401.405151177578,No
CUST00025,Female,0,Yes,Yes,63,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,46.87,2974.9404985003785,No
CUST00026,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,85.21,1704.3604848371851,No
CUST00027,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,No internet service,Yes,No internet service,No,No,One year,Yes,Mailed check,33.47,2165.343709847986,No
CUST00028,Female,0,Yes,No,40,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,71.86,2862.8692689684026,No
CUST00029,Female,1,Yes,No,23,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,Yes,One year,No,Mailed check,96.81,2233.7575998535967,No
CUST00030,Male,0,Yes,Yes,34,No,No phone service,DSL,No internet service,No internet service,Yes,Yes,No internet service,No,One year,No,Electronic check,36.43,1224.9332108492035,No
CUST00031,Male,1,No,Yes,55,Yes,No,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),95.33,5221.066377145225,No
CUST00032,Female,1,Yes,Yes,29,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,96.08,2776.109913563392,No
CUST00033,Female,0,Yes,No,56,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,Yes,One year,Yes,Bank transfer (automatic),25.99,1428.9503131759468,No
CUST00034,Female,0,No,Yes,46,Yes,No,No,Yes,No internet service,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),21.88,1043.492331690412,No
CUST00035,Male,1,Yes,Yes,34,Yes,No phone service,No,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,117.39,4003.191054201428,No
CUST00036,Female,0,Yes,No,18,Yes,No,DSL,No internet service,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,39.34,740.5368768682915,No
CUST00037,Male,0,No,No,7,Yes,No phone service,DSL,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Bank transfer (automatic),102.21,725.1787207348096,No
CUST00038,Male,0,Yes,No,25,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Credit card (automatic),76.19,1935.2418606008514,No
CUST00039,Male,0,Yes,Yes,70,No,Yes,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),46.45,3258.849293281118,No
CUST00040,Male,1,Yes,No,29,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,33.0,971.5236264199067,No
CUST00041,Male,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,69.67,375.3456194691763,Yes
CUST00042,Female,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),60.74,3990.553408060476,No
CUST00043,Female,0,Yes,No,64,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),89.89,5753.69855550512,No
CUST00044,Female,0,No,Yes,35,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Mailed check,110.42,3865.923755295798,No
CUST00045,Female,0,Yes,Yes,24,No,No,No,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Mailed check,100.52,2410.9523796265435,No
CUST00046,Female,0,No,No,36,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),47.45,1717.259905541814,No
CUST00047,Male,0,No,No,0,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,107.89,9.884058758599613,Yes
CUST00048,Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No internet service,One year,Yes,Credit card (automatic),103.34,1464.0623163417567,No
CUST00049,Female,0,No,No,36,Yes,No,DSL,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),112.91,4078.1398704220824,No
CUST00050,Male,0,No,No,12,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,No,One year,No,Electronic check,65.87,814.5217479915499,No
CUST00051,Female,1,Yes,No,7,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),96.86,702.2646723485295,Yes
CUST00052,Male,0,No,Yes,4,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,Month-to-month,No,Electronic check,79.17,320.1732889775073,Yes
CUST00053,Female,0,No,Yes,59,Yes,No phone service,No,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,51.05,3053.582975771286,No
CUST00054,Male,1,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No internet service,Two year,Yes,Credit card (automatic),119.44,27.186610698432293,No
CUST00055,Female,0,Yes,Yes,35,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,23.83,817.9109819106892,No
CUST00056,Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,36.23,1239.6720666211459,No
CUST00057,Male,0,No,Yes,65,Yes,Yes,DSL,Yes,No,No,No internet service,No,No,One year,Yes,Credit card (automatic),109.25,7064.397637161687,No
CUST00058,Male,0,Yes,Yes,62,Yes,No,DSL,No internet service,No,No,No,No internet service,No,One year,Yes,Mailed check,26.06,1582.2360343663531,No
CUST00059,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,No,Bank transfer (automatic),108.68,2380.970113393285,No
CUST00060,Male,0,No,No,8,Yes,No phone service,No,Yes,No internet service,Yes,No,No,No,Two year,No,Bank transfer (automatic),91.52,714.6511014267251,No
CUST00061,Male,0,No,Yes,33,Yes,No phone service,DSL,No internet service,No,No,No internet service,No,No,One year,No,Electronic check,23.67,771.243140998515,No
CUST00062,Male,0,No,No,45,Yes,No phone service,No,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,62.93,2838.4198772479317,No
CUST00063,Male,0,No,Yes,3,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,95.45,310.85580611699464,No
